,fullname,html,is_retweet,likes,replies,retweet_id,retweeter_userid,retweeter_username,retweets,text,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username
0,Russell Arnett,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""23534104"" dir=""ltr"" href=""/MoElleithee""><s>@</s><b>MoElleithee</b></a> 
What we are seeing from lots of people on the left is . . .

Radical REVERSE Racism . . .

This, Just one element of the
""Fundamental Change to America""

<strong>Floods</strong>, Fires, Earthqukes, Tornadoes, Hurricanes &amp; More says we have gone far beyond any
""Bipatisan Solutions"".</p>",0,0,0,,,,0,"@MoElleithee 
What we are seeing from lots of people on the left is . . .

Radical REVERSE Racism . . .

This, Just one element of the
""Fundamental Change to America""

Floods, Fires, Earthqukes, Tornadoes, Hurricanes & More says we have gone far beyond any
""Bipatisan Solutions"".",2019-07-21 23:59:59,1563753599,1153092289029451777,/Arnett907Arnett/status/1153092289029451777,2664906795,Arnett907Arnett
1,さしみ（インド旅行中）,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">はーーーーーーーー天空クソ仕事パラダイス</p>",0,0,0,,,,0,はーーーーーーーー天空クソ仕事パラダイス,2019-07-21 23:59:47,1563753587,1153092238513037313,/flood_rawfish/status/1153092238513037313,2192381132,flood_rawfish
2,"Gwen Tolbart, Fox5DC","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">T-Storms with heavy rain will be an issue on Monday so be prepared. Flash <strong>Flood</strong> Watch in effect Monday afternoon through late night. Avg of 1-1/12."" with localized totals to 4"" poss. Turn Around Don't Drown.
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""13918492"" dir=""ltr"" href=""/fox5dc""><s>@</s><b>Fox5DC</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/EIAMsyV3d6"">pic.twitter.com/EIAMsyV3d6</a></p>",0,2,0,,,,2,"T-Storms with heavy rain will be an issue on Monday so be prepared. Flash Flood Watch in effect Monday afternoon through late night. Avg of 1-1/12."" with localized totals to 4"" poss. Turn Around Don't Drown.
@Fox5DCpic.twitter.com/EIAMsyV3d6",2019-07-21 23:59:45,1563753585,1153092230925733888,/gwenfox5dc/status/1153092230925733888,1911186420,gwenfox5dc
3,Gary Chiles,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dangerous counterfeit substances used to <strong>flood</strong> the NZ black market.
Now that NZ is allowing drug testing and Australia isn't, all the counterfeiters are unloading their wares in Australia.
Congratulations, and thanks.
Don't let me distract you from counting the bodies.<img alt=""😒"" aria-label=""Emoji: Unamused face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f612.png"" title=""Unamused face""/></p>",0,1,0,,,,0,"Dangerous counterfeit substances used to flood the NZ black market.
Now that NZ is allowing drug testing and Australia isn't, all the counterfeiters are unloading their wares in Australia.
Congratulations, and thanks.
Don't let me distract you from counting the bodies.",2019-07-21 23:59:42,1563753582,1153092215813492736,/testtubeone/status/1153092215813492736,845163564,testtubeone
4,"Curt Flood, Jr.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Earl Scheib and 'nem.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/wFV5WwGA1T"">pic.twitter.com/wFV5WwGA1T</a></p>",0,4,1,,,,0,Earl Scheib and 'nem.pic.twitter.com/wFV5WwGA1T,2019-07-21 23:59:28,1563753568,1153092157000957953,/curtfloodjr/status/1153092157000957953,157865007,curtfloodjr
5,Tyler Allender,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Careful! An average of 1-2 inches of rain is expected through Tuesday morning. Places that get a lot at once could see ponding on the roads or even isolated <strong>flooding</strong>, especially late Monday/Monday night. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2408617009"" dir=""ltr"" href=""/wjhl""><s>@</s><b>WJHL</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wjhlwx?src=hash""><s>#</s><b>wjhlwx</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/dWWEOTqHvF"">pic.twitter.com/dWWEOTqHvF</a></p>",0,6,0,,,,4,"Careful! An average of 1-2 inches of rain is expected through Tuesday morning. Places that get a lot at once could see ponding on the roads or even isolated flooding, especially late Monday/Monday night. @WJHL #wjhlwxpic.twitter.com/dWWEOTqHvF",2019-07-21 23:59:25,1563753565,1153092144611123203,/TylerAllender/status/1153092144611123203,540186163,TylerAllender
6,PulpNews Crime,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Woman's body found after rains <strong>flood</strong> gulch late Saturday in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Lakewood?src=hash""><s>#</s><b>Lakewood</b></a> - Jul 21 @ 7:58 PM ET <a class=""twitter-timeline-link"" data-expanded-url=""https://oddcrimes.com/static/2019/07/21/Womans-body-found-after-rains-flood-gulch-late-Saturday-in-Lakewood.php"" dir=""ltr"" href=""https://t.co/YtqgkdIqb5"" rel=""nofollow noopener"" target=""_blank"" title=""https://oddcrimes.com/static/2019/07/21/Womans-body-found-after-rains-flood-gulch-late-Saturday-in-Lakewood.php""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">oddcrimes.com/static/2019/07</span><span class=""invisible"">/21/Womans-body-found-after-rains-flood-gulch-late-Saturday-in-Lakewood.php</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,0,0,,,,0,Woman's body found after rains flood gulch late Saturday in #Lakewood - Jul 21 @ 7:58 PM ET https://oddcrimes.com/static/2019/07/21/Womans-body-found-after-rains-flood-gulch-late-Saturday-in-Lakewood.php …,2019-07-21 23:59:25,1563753565,1153092143260590081,/PulpNews/status/1153092143260590081,100986964,PulpNews
7,@NWSFlashFlood,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Flash <strong>Flood</strong> Warning continues for Woodstock VA, Maurertown VA, Toms Brook VA until 9:30 PM EDT <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/gK5BYYsU1t"">pic.twitter.com/gK5BYYsU1t</a></p>",0,0,0,,,,0,"Flash Flood Warning continues for Woodstock VA, Maurertown VA, Toms Brook VA until 9:30 PM EDT pic.twitter.com/gK5BYYsU1t",2019-07-21 23:59:18,1563753558,1153092115200729089,/NWSFlashFlood/status/1153092115200729089,742351395152637953,NWSFlashFlood
8,Orla Flood 🌸,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I’m up at 1 in the morning thinking about what it’s gonna be like when I move out which is another month and 1 week away sorry I’d rather sleep now thank you</p>",0,0,0,,,,0,I’m up at 1 in the morning thinking about what it’s gonna be like when I move out which is another month and 1 week away sorry I’d rather sleep now thank you,2019-07-21 23:59:18,1563753558,1153092114508632066,/orlaflood98/status/1153092114508632066,1120469277570736133,orlaflood98
9,⚡️ Indiana Weather Alerts,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">NWS Alert&gt; <strong>Flood</strong> Advisory is in effect in Gibson County until 11 PM <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/inwx?src=hash""><s>#</s><b>inwx</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=IN125D04C45A90.FloodAdvisory.125D04D05E58IN.PAHFLSPAH.44511d031aa91917d6732a6ecf4266f6&amp;a=018&amp;t=1"" dir=""ltr"" href=""https://t.co/idAZSIZeaR"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=IN125D04C45A90.FloodAdvisory.125D04D05E58IN.PAHFLSPAH.44511d031aa91917d6732a6ecf4266f6&amp;a=018&amp;t=1""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">simpleweatheralert.com/cgi-bin/weathe</span><span class=""invisible"">rdetail.py?l=IN125D04C45A90.FloodAdvisory.125D04D05E58IN.PAHFLSPAH.44511d031aa91917d6732a6ecf4266f6&amp;a=018&amp;t=1</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,0,0,,,,0,NWS Alert> Flood Advisory is in effect in Gibson County until 11 PM #inwx http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=IN125D04C45A90.FloodAdvisory.125D04D05E58IN.PAHFLSPAH.44511d031aa91917d6732a6ecf4266f6&a=018&t=1 …,2019-07-21 23:59:11,1563753551,1153092088168427521,/SimpleWeatherIN/status/1153092088168427521,318869755,SimpleWeatherIN
