,fullname,html,is_retweet,likes,replies,retweet_id,retweeter_userid,retweeter_username,retweets,text,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username
0,lil chocolate 🍫,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I don’t think a <strong>tornado</strong> will hit in the ferrum / franklin county area <img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/></p>",0,3,2,,,,0,I don’t think a tornado will hit in the ferrum / franklin county area ,2019-04-14 23:59:59,1555286399,1117578278783602688,/uuh_lexis/status/1117578278783602688,236036320,uuh_lexis
1,Event Tracker,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I think Event: <strong>Tornado</strong> has occurred in OHIO A
Sun Apr 14 18:56:02 2019 CDT <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/2Wpphxj4iV"">pic.twitter.com/2Wpphxj4iV</a></p>",0,0,0,,,,0,"I think Event: Tornado has occurred in OHIO A
Sun Apr 14 18:56:02 2019 CDT pic.twitter.com/2Wpphxj4iV",2019-04-14 23:59:58,1555286398,1117578274220191745,/Keith_Event/status/1117578274220191745,3158550950,Keith_Event
2,ARYA KUSUMA🍼,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Sumacum Laude (gelar akademik dr USA untuk siswa yg ber IP 4) tapi soal ekonomi mikro &amp; makro di ajarin sm mantan tukang meuble. Malu banget gak sih ?</p>",0,8,1,,,,4,Sumacum Laude (gelar akademik dr USA untuk siswa yg ber IP 4) tapi soal ekonomi mikro & makro di ajarin sm mantan tukang meuble. Malu banget gak sih ?,2019-04-14 23:59:58,1555286398,1117578272865259521,/lidah_tornado/status/1117578272865259521,258358855,lidah_tornado
3,Catherine Rochereul,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Tornado</strong> watch? Hopefully my 1898‘s house can withstand one. Weather is so crazy</p>",0,0,0,,,,0,Tornado watch? Hopefully my 1898‘s house can withstand one. Weather is so crazy,2019-04-14 23:59:57,1555286397,1117578268243374081,/Rochereul/status/1117578268243374081,902106506,Rochereul
4,Ray Strickland,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt""><strong>Tornado</strong>.</p>",0,2,0,,,,1,Tornado.,2019-04-14 23:59:52,1555286392,1117578248001654784,/realraystrick/status/1117578248001654784,1426302145,realraystrick
5,Michael Gorsegner,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Wow. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Tornado?src=hash""><s>#</s><b><strong>Tornado</strong></b></a> Warning in <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""193388366"" dir=""ltr"" href=""/YorkCounty_PA""><s>@</s><b>YorkCounty_PA</b></a>. Sky is looking ominous. Take cover if you are in the area. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""9651842"" dir=""ltr"" href=""/CBS21NEWS""><s>@</s><b>CBS21NEWS</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""262678932"" dir=""ltr"" href=""/chrisnallan""><s>@</s><b>chrisnallan</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/B2ilFrGCcO"">pic.twitter.com/B2ilFrGCcO</a></p>",0,0,0,,,,0,Wow. #Tornado Warning in @YorkCounty_PA. Sky is looking ominous. Take cover if you are in the area. @CBS21NEWS @chrisnallanpic.twitter.com/B2ilFrGCcO,2019-04-14 23:59:52,1555286392,1117578245875163136,/MikeGorsegner/status/1117578245875163136,108984130,MikeGorsegner
6,TONY,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr""><a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/fcx42p7Q2Ds"" dir=""ltr"" href=""https://t.co/A7yOBDWnlP"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/fcx42p7Q2Ds""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/fcx42p7Q2Ds</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> FILES TV,<strong>TORNADO</strong> TV et YouTubé Censuré chaînes sur youtube</p>",0,0,0,,,,0,"https://youtu.be/fcx42p7Q2Ds  FILES TV,TORNADO TV et YouTubé Censuré chaînes sur youtube",2019-04-14 23:59:51,1555286391,1117578243908014082,/Tornado28212621/status/1117578243908014082,1031678411851411457,Tornado28212621
7,Heartland Waterfowl,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">First light flock of mallards. These are the moments we see when we close our eyes at night and are what keep us coming back for more! 

| <strong>Tornado</strong> Alley Waterfowl | Bass Pro Shops | Remington Arms Company | Carlson's Choke Tubes | Realtree Outdoors® | <a class=""twitter-timeline-link"" data-expanded-url=""https://www.facebook.com/HeartlandWaterfowl/videos/348050639155283/"" dir=""ltr"" href=""https://t.co/uglhA1kov3"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.facebook.com/HeartlandWaterfowl/videos/348050639155283/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">facebook.com/HeartlandWater</span><span class=""invisible"">fowl/videos/348050639155283/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,0,0,,,,0,"First light flock of mallards. These are the moments we see when we close our eyes at night and are what keep us coming back for more! 

| Tornado Alley Waterfowl | Bass Pro Shops | Remington Arms Company | Carlson's Choke Tubes | Realtree Outdoors® | https://www.facebook.com/HeartlandWaterfowl/videos/348050639155283/ …",2019-04-14 23:59:51,1555286391,1117578243362758663,/HWaterfowl/status/1117578243362758663,563981626,HWaterfowl
8,CrackedOS,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Tornado</strong> Warning here. I'm sure i'll be fine</p>",0,0,0,,,,0,Tornado Warning here. I'm sure i'll be fine,2019-04-14 23:59:48,1555286388,1117578231564120065,/crackedos/status/1117578231564120065,1016091033883594757,crackedos
9,Justin Berk,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">That was before the <strong>tornado</strong> warning... So it was trying</p>",0,5,0,,,,0,That was before the tornado warning... So it was trying,2019-04-14 23:59:40,1555286380,1117578198538235905,/JustinWeather/status/1117578198538235905,11996222,JustinWeather
